name,location,price,date,stars,km_from_center,num_external_reviews,booking_user_ratings,avg_user_ratings,airport_taxi,travel_sustainable_level,has_free_cancelation,town_location,price_category,month
a&o Dortmund Hauptbahnhof,"Dortmund City Centre, Dortmund",61.92911619,2024-02-01,0,400.0,4057,0,6.9,0,4,False,Dortmund,Low,February
Moxy Dortmund City,Dortmund,122.24778255000001,2024-02-01,3,1.1,676,2,8.4,0,1,False,Dortmund,Medium,February
NH Dortmund,Dortmund,123.25634709,2024-02-01,4,450.0,3768,2,8.5,0,4,False,Dortmund,Medium,February
Hotel Excelsior Dortmund Hauptbahnhof,Dortmund,60.12346032000001,2024-02-01,0,1.0,2952,1,7.4,0,1,False,Dortmund,Low,February
LivInn Hotel,"Dortmund City Centre, Dortmund",110.22634392,2024-02-01,3,0.7,2995,1,7.3,0,1,True,Dortmund,Medium,February
prizeotel Dortmund-City,"Dortmund City Centre, Dortmund",138.17334198,2024-02-01,3,0.6,911,2,8.1,0,2,False,Dortmund,Medium,February
Hampton By Hilton Dortmund Phoenix See,Dortmund,126.91646034,2024-02-01,3,3.7,2472,2,8.5,0,4,False,Dortmund,Medium,February
ibis budget Dortmund West,Dortmund,65.68683246,2024-02-01,1,10.1,1373,1,7.3,0,0,False,Dortmund,Low,February
Hotel Union,Dortmund,69.1354725,2024-02-01,0,0.9,209,1,7.5,0,1,False,Dortmund,Low,February
Residence Inn by Marriott Dortmund City,Dortmund,131.2760619,2024-02-01,4,1.1,831,2,8.5,0,1,False,Dortmund,Medium,February
Days Inn Dortmund West,Dortmund,55.11317196,2024-02-01,0,10.0,783,0,5.8,0,1,True,Dortmund,Low,February
Hotel Unique Pearl,Dortmund,86.02079496,2024-02-01,4,1.1,5428,1,7.8,0,2,False,Dortmund,Medium,February
Dorint An den Westfalenhallen Dortmund,Dortmund,179.76849567000002,2024-02-01,0,2.2,3286,2,8.2,0,1,True,Dortmund,High,February
Home Hotel,Dortmund,76.00021824000001,2024-02-01,0,1.4,1765,1,7.1,0,0,False,Dortmund,Low,February
"Holiday Inn Express Dortmund, an IHG Hotel",Dortmund,130.26749736000002,2024-02-01,3,4.6,2693,2,8.3,0,4,True,Dortmund,Medium,February
Mercure Hotel Dortmund Centrum,"Dortmund City Centre, Dortmund",118.05085269000001,2024-02-01,4,350.0,1275,1,7.7,0,2,False,Dortmund,Medium,February
DJH Jugendgästehaus Adolph Kolping,"Dortmund City Centre, Dortmund",98.12356944000001,2024-02-01,0,500.0,2063,2,8.4,0,1,False,Dortmund,Medium,February
Hotel der Lennhof,Dortmund,140.12540238,2024-02-01,4,5.1,496,2,8.0,0,1,False,Dortmund,High,February
Tondose Apartment,"Dortmund City Centre, Dortmund",69.1354725,2024-02-01,0,300.0,894,5,8.7,0,0,True,Dortmund,Low,February
Hotel Esplanade Dortmund,Dortmund,111.18610695000001,2024-02-01,4,250.0,1358,2,8.5,0,3,False,Dortmund,Medium,February
B&B Hotel Dortmund-City,Dortmund,74.68257747,2024-02-01,0,400.0,2706,1,7.9,0,0,True,Dortmund,Low,February
Leonardo Hotel Dortmund,Dortmund,124.44385050000001,2024-02-01,0,350.0,4513,5,8.6,0,4,False,Dortmund,Medium,February
Basecamp Hotel Dortmund,"Dortmund City Centre, Dortmund",123.45155313000001,2024-02-01,0,150.0,2737,2,8.4,0,2,True,Dortmund,Medium,February
PS-Projektentwicklung,Dortmund,48.68763981,2024-02-01,0,4.5,62,2,8.0,0,0,True,Dortmund,Low,February
BRIGHT Dortmund City Center,Dortmund,101.78368269,2024-02-01,0,0.6,312,2,8.2,0,2,True,Dortmund,Medium,February
Coffee Fellows Hotel Dortmund,"Dortmund City Centre, Dortmund",143.57404242,2024-02-01,0,400.0,1461,2,8.4,0,4,False,Dortmund,High,February
Pension Sölde,Dortmund,75.1543254,2024-02-01,0,8.6,1039,1,7.9,0,2,True,Dortmund,Low,February
DJH Jugendgästehaus Adolph Kolping,"Dortmund City Centre, Dortmund",98.12356944000001,2024-02-01,0,500.0,2063,2,8.4,0,1,False,Dortmund,Medium,February
BRIGHT Dortmund City Center,Dortmund,110.63302317,2024-02-01,0,0.6,312,2,8.2,0,2,True,Dortmund,Medium,February
Courtyard by Marriott Dortmund,Dortmund,148.30778889,2024-02-01,0,3.7,290,2,8.4,0,1,False,Dortmund,High,February
B&B Hotel Dortmund-City,Dortmund,81.1731783,2024-02-01,0,400.0,2706,1,7.9,0,0,True,Dortmund,Medium,February
Hotel Union,Dortmund,75.1543254,2024-02-01,0,0.9,209,1,7.5,0,1,False,Dortmund,Low,February
l'Arrivée Hotel & Spa,Dortmund,199.24029816,2024-02-01,4,7.4,1086,2,8.5,0,0,True,Dortmund,High,February
Moods Hotel Dortmund,Dortmund,130.56030642000002,2024-02-01,3,3.5,1611,2,8.3,0,3,True,Dortmund,Medium,February
Deluxe Wohnungen Dortmund Mitte,Dortmund,85.17490212,2024-02-01,0,1.4,124,1,7.4,0,0,False,Dortmund,Medium,February
Tondose Apartment,"Dortmund City Centre, Dortmund",69.1354725,2024-02-01,0,300.0,894,5,8.7,0,0,True,Dortmund,Low,February
NP Hotel Königshof,"Dortmund City Centre, Dortmund",89.19289311,2024-02-01,0,400.0,1636,2,8.3,0,1,True,Dortmund,Medium,February
PS-Projektentwicklung,Dortmund,52.91710401,2024-02-01,0,4.5,62,2,8.0,0,0,True,Dortmund,Low,February
Akzent Hotel Körner Hof,Dortmund,142.28893599,2024-02-01,3,2.3,308,2,8.0,0,0,True,Dortmund,High,February
ibis Hotel Dortmund City,Dortmund,100.90525551,2024-02-01,3,1.3,520,2,8.2,0,2,False,Dortmund,Medium,February
TM Aparts,Dortmund,130.26749736000002,2024-02-01,0,1.2,769,1,7.0,0,0,False,Dortmund,Medium,February
S & D Hotel Dortmund,"Dortmund City Centre, Dortmund",53.470187790000004,2024-02-01,0,150.0,11,5,7.7890352149445965,0,0,False,Dortmund,Low,February
Days Inn Dortmund West,Dortmund,55.11317196,2024-02-01,0,10.0,783,0,5.8,0,1,True,Dortmund,Low,February
Hotel Unique Pearl,Dortmund,86.02079496,2024-02-01,4,1.1,5428,1,7.8,0,2,False,Dortmund,Medium,February
ibis budget Dortmund West,Dortmund,65.68683246,2024-02-01,1,10.1,1373,1,7.3,0,0,False,Dortmund,Low,February
Design Apartments 1,Dortmund,64.12518414,2024-02-01,0,0.9,563,0,5.6,0,0,True,Dortmund,Low,February
Hotel Senator,Dortmund,67.29728229,2024-02-01,0,1.8,1696,0,6.9,0,1,False,Dortmund,Low,February
NYCE Hotel Dortmund Thier Galerie,"Dortmund City Centre, Dortmund",87.54990894000001,2024-02-01,0,0.8,392,2,8.0,0,0,False,Dortmund,Medium,February
G & L City Rooms,Dortmund,76.16288994,2024-02-01,0,1.0,112,1,7.3,0,0,False,Dortmund,Low,February
stays design Hotel Dortmund,Dortmund,79.15604922,2024-02-02,0,2.5,3738,2,8.3,0,1,False,Dortmund,Low,February
Moxy Dortmund City,Dortmund,105.21605556,2024-02-02,3,1.1,676,2,8.4,0,1,False,Dortmund,Medium,February
a&o Dortmund Hauptbahnhof,"Dortmund City Centre, Dortmund",80.76649905000001,2024-02-02,0,400.0,4057,0,6.9,0,4,False,Dortmund,Medium,February
DJH Jugendgästehaus Adolph Kolping,"Dortmund City Centre, Dortmund",98.12356944000001,2024-02-02,0,500.0,2063,2,8.4,0,1,False,Dortmund,Medium,February
Hampton By Hilton Dortmund Phoenix See,Dortmund,118.39246326000001,2024-02-02,3,3.7,2472,2,8.5,0,4,False,Dortmund,Medium,February
Leonardo Hotel Dortmund,Dortmund,112.7314881,2024-02-02,0,350.0,4513,5,8.6,0,4,False,Dortmund,Medium,February
Basecamp Hotel Dortmund,"Dortmund City Centre, Dortmund",107.42839068,2024-02-02,0,150.0,2737,2,8.4,0,2,True,Dortmund,Medium,February
Days Inn Dortmund West,Dortmund,58.12259841,2024-02-02,0,10.0,783,0,5.8,0,1,True,Dortmund,Low,February
prizeotel Dortmund-City,"Dortmund City Centre, Dortmund",135.08257968,2024-02-02,3,0.6,911,2,8.1,0,2,False,Dortmund,Medium,February
Residence Inn by Marriott Dortmund City,Dortmund,127.25807091,2024-02-02,4,1.1,831,2,8.5,0,1,False,Dortmund,Medium,February
NH Dortmund,Dortmund,110.22634392,2024-02-02,4,450.0,3768,2,8.5,0,4,False,Dortmund,Medium,February
IntercityHotel Dortmund,"Dortmund City Centre, Dortmund",87.30590139,2024-02-02,4,0.6,1222,2,8.3,0,1,False,Dortmund,Medium,February
Best Western Hotel Dortmund Airport,Dortmund,89.29049613000001,2024-02-02,4,7.3,1670,1,7.4,0,1,False,Dortmund,Medium,February
"Holiday Inn Express Dortmund, an IHG Hotel",Dortmund,120.24692064000001,2024-02-02,3,4.6,2693,2,8.3,0,4,True,Dortmund,Medium,February
Hotel der Lennhof,Dortmund,129.27519999,2024-02-02,4,5.1,496,2,8.0,0,1,False,Dortmund,Medium,February
LivInn Hotel,"Dortmund City Centre, Dortmund",110.22634392,2024-02-02,3,0.7,2995,1,7.3,0,1,True,Dortmund,Medium,February
Pension Sölde,Dortmund,75.1543254,2024-02-02,0,8.6,1039,1,7.9,0,2,True,Dortmund,Low,February
Hotel Esplanade Dortmund,Dortmund,111.34877865,2024-02-02,4,250.0,1358,2,8.5,0,3,False,Dortmund,Medium,February
BRIGHT Dortmund City Center,Dortmund,103.41039969,2024-02-02,0,0.6,312,2,8.2,0,2,True,Dortmund,Medium,February
Hotel Union,Dortmund,97.19634075,2024-02-02,0,0.9,209,1,7.5,0,1,False,Dortmund,Medium,February
ibis budget Dortmund West,Dortmund,68.54985438,2024-02-02,1,10.1,1373,1,7.3,0,0,False,Dortmund,Low,February
Mercure Hotel Dortmund Centrum,"Dortmund City Centre, Dortmund",118.05085269000001,2024-02-02,4,350.0,1275,1,7.7,0,2,False,Dortmund,Medium,February
Courtyard by Marriott Dortmund,Dortmund,130.26749736000002,2024-02-02,0,3.7,290,2,8.4,0,1,False,Dortmund,Medium,February
B&B Hotel Dortmund-City,Dortmund,92.18605239,2024-02-02,0,400.0,2706,1,7.9,0,0,True,Dortmund,Medium,February
Deluxe Wohnungen Dortmund Mitte,Dortmund,85.17490212,2024-02-02,0,1.4,124,1,7.4,0,0,True,Dortmund,Medium,February
Design Apartments 1,Dortmund,60.12346032000001,2024-02-02,0,0.9,563,0,5.6,0,0,True,Dortmund,Low,February
NP Hotel Königshof,"Dortmund City Centre, Dortmund",89.19289311,2024-02-02,0,400.0,1636,2,8.3,0,1,True,Dortmund,Medium,February
Hampton By Hilton Dortmund Phoenix See,Dortmund,118.39246326000001,2024-02-02,3,3.7,2472,2,8.5,0,4,False,Dortmund,Medium,February
Hotel Ambiente,Dortmund,125.257209,2024-02-02,0,4.5,196,2,8.3,0,2,True,Dortmund,Medium,February
B&B Hotel Dortmund-City,Dortmund,92.18605239,2024-02-02,0,400.0,2706,1,7.9,0,0,True,Dortmund,Medium,February
Akzent Hotel Körner Hof,Dortmund,138.28721217,2024-02-02,3,2.3,308,2,8.0,0,0,True,Dortmund,Medium,February
Hotel Union,Dortmund,97.19634075,2024-02-02,0,0.9,209,1,7.5,0,1,False,Dortmund,Medium,February
Days Inn Dortmund West,Dortmund,58.12259841,2024-02-02,0,10.0,783,0,5.8,0,1,True,Dortmund,Low,February
ibis Hotel Dortmund City,Dortmund,105.67153632,2024-02-02,3,1.3,520,2,8.2,0,2,False,Dortmund,Medium,February
ibis budget Dortmund West,Dortmund,68.54985438,2024-02-02,1,10.1,1373,1,7.3,0,0,False,Dortmund,Low,February
Hotel Annis M&P,Dortmund,60.12346032000001,2024-02-02,0,0.7,98,0,5.3,0,0,True,Dortmund,Low,February
S & D Hotel Dortmund,"Dortmund City Centre, Dortmund",60.741612780000004,2024-02-02,0,150.0,11,5,7.7890352149445965,0,0,False,Dortmund,Low,February
Apartment in the center,"Dortmund City Centre, Dortmund",54.10460742,2024-02-02,0,200.0,72,0,4.6,0,0,True,Dortmund,Low,February
Big Apartments,"Dortmund City Centre, Dortmund",55.11317196,2024-02-02,0,200.0,173,0,4.7,0,0,False,Dortmund,Low,February
G & L City Rooms,Dortmund,78.16375185000001,2024-02-02,0,1.0,112,1,7.3,0,0,False,Dortmund,Low,February
NYCE Hotel Dortmund Thier Galerie,"Dortmund City Centre, Dortmund",94.56105921000001,2024-02-02,0,0.8,392,2,8.0,0,0,False,Dortmund,Medium,February
City-Pension-Dortmund,"Dortmund City Centre, Dortmund",75.1543254,2024-02-02,0,50.0,483,0,6.1,0,0,False,Dortmund,Low,February
Hotel- Restaurant Kerzan´s,Dortmund,77.56186656,2024-02-02,0,6.9,280,1,7.9,0,0,True,Dortmund,Low,February
Apartments in the city center I private parking I digital access I home2share,Dortmund,97.22887509,2024-02-02,0,0.6,451,2,8.0,0,2,False,Dortmund,Medium,February
Zentrale Wohnung in Dortmund,Dortmund,89.9574501,2024-02-02,0,1.4,27,3,7.7890352149445965,0,0,False,Dortmund,Medium,February
prizeotel Dortmund-City,"Dortmund City Centre, Dortmund",135.08257968,2024-02-02,3,0.6,911,2,8.1,0,2,False,Dortmund,Medium,February
BRIGHT Dortmund City Center,Dortmund,103.41039969,2024-02-02,0,0.6,312,2,8.2,0,2,True,Dortmund,Medium,February
DO One Bedroom Flat,Dortmund,64.53186339,2024-02-02,0,1.4,8,0,6.5,0,0,True,Dortmund,Low,February
stays design Hotel Dortmund,Dortmund,79.15604922,2024-02-03,0,2.5,3738,2,8.3,0,1,False,Dortmund,Low,February
Moxy Dortmund City,Dortmund,105.21605556,2024-02-03,3,1.1,676,2,8.4,0,1,False,Dortmund,Medium,February
Basecamp Hotel Dortmund,"Dortmund City Centre, Dortmund",96.20404338,2024-02-03,0,150.0,2737,2,8.4,0,2,False,Dortmund,Medium,February
a&o Dortmund Hauptbahnhof,"Dortmund City Centre, Dortmund",77.59440090000001,2024-02-03,0,400.0,4057,0,6.9,0,4,False,Dortmund,Low,February
DJH Jugendgästehaus Adolph Kolping,"Dortmund City Centre, Dortmund",98.12356944000001,2024-02-03,0,500.0,2063,2,8.4,0,1,False,Dortmund,Medium,February
prizeotel Dortmund-City,"Dortmund City Centre, Dortmund",111.56025186000001,2024-02-03,3,0.6,911,2,8.1,0,2,False,Dortmund,Medium,February
Leonardo Hotel Dortmund,Dortmund,99.21346983000001,2024-02-03,0,350.0,4513,5,8.6,0,4,False,Dortmund,Medium,February
IntercityHotel Dortmund,"Dortmund City Centre, Dortmund",83.90606286,2024-02-03,4,0.6,1222,2,8.3,0,1,False,Dortmund,Medium,February
Hampton By Hilton Dortmund Phoenix See,Dortmund,118.39246326000001,2024-02-03,3,3.7,2472,2,8.5,0,4,False,Dortmund,Medium,February
Days Inn Dortmund West,Dortmund,52.315218720000004,2024-02-03,0,10.0,783,0,5.8,0,1,False,Dortmund,Low,February
"Holiday Inn Express Dortmund, an IHG Hotel",Dortmund,88.18432857,2024-02-03,3,4.6,2693,2,8.3,0,4,False,Dortmund,Medium,February
Residence Inn by Marriott Dortmund City,Dortmund,135.27778572,2024-02-03,4,1.1,831,2,8.5,0,1,False,Dortmund,Medium,February
Hotel Esplanade Dortmund,Dortmund,110.38901562000001,2024-02-03,4,250.0,1358,2,8.5,0,3,False,Dortmund,Medium,February
Hotel der Lennhof,Dortmund,152.30951271,2024-02-03,4,5.1,496,2,8.0,0,1,False,Dortmund,High,February
Dorint An den Westfalenhallen Dortmund,Dortmund,198.41067249000002,2024-02-03,0,2.2,3286,2,8.2,0,1,False,Dortmund,High,February
PS-Projektentwicklung,Dortmund,43.286939370000006,2024-02-03,0,4.5,62,2,8.0,0,0,False,Dortmund,Low,February
Mercure Hotel Dortmund Centrum,"Dortmund City Centre, Dortmund",118.05085269000001,2024-02-03,4,350.0,1275,1,7.7,0,2,False,Dortmund,Medium,February
ibis budget Dortmund West,Dortmund,65.68683246,2024-02-03,1,10.1,1373,1,7.3,0,0,False,Dortmund,Low,February
Best Western Hotel Dortmund Airport,Dortmund,89.29049613000001,2024-02-03,4,7.3,1670,1,7.4,0,1,False,Dortmund,Medium,February
Hotel Union,Dortmund,97.19634075,2024-02-03,0,0.9,209,1,7.5,0,1,False,Dortmund,Medium,February
B&B Hotel Dortmund-City,Dortmund,86.18346666000001,2024-02-03,0,400.0,2706,1,7.9,0,0,False,Dortmund,Medium,February
Mercure Hotel Dortmund Messe,Dortmund,127.25807091,2024-02-03,4,2.5,1502,2,8.1,0,0,False,Dortmund,Medium,February
LivInn Hotel,"Dortmund City Centre, Dortmund",120.24692064000001,2024-02-03,3,0.7,2995,1,7.3,0,1,True,Dortmund,Medium,February
Home Hotel,Dortmund,82.62095643,2024-02-03,0,1.4,1765,1,7.1,0,0,False,Dortmund,Medium,February
Hotel Unique Dortmund Hauptbahnhof,Dortmund,106.46862765,2024-02-03,4,0.9,7513,1,7.5,0,1,False,Dortmund,Medium,February
Hotel Unique Dortmund Hauptbahnhof,Dortmund,106.46862765,2024-02-03,4,0.9,7513,1,7.5,0,1,False,Dortmund,Medium,February
Courtyard by Marriott Dortmund,Dortmund,121.25548518000001,2024-02-03,0,3.7,290,2,8.4,0,1,False,Dortmund,Medium,February
Mercure Hotel Dortmund City,"Dortmund City Centre, Dortmund",99.31107285,2024-02-03,0,400.0,944,1,7.3,0,1,False,Dortmund,Medium,February
Coffee Fellows Hotel Dortmund,"Dortmund City Centre, Dortmund",132.34969512,2024-02-03,0,400.0,1461,2,8.4,0,4,False,Dortmund,Medium,February
Hotel Ambiente,Dortmund,125.257209,2024-02-03,0,4.5,196,2,8.3,0,2,True,Dortmund,Medium,February
ibis Styles Dortmund West,Dortmund,97.71689019,2024-02-03,3,9.9,720,1,7.1,0,3,False,Dortmund,Medium,February
Radisson Blu Hotel Dortmund,Dortmund,175.92944355,2024-02-03,0,2.4,2833,2,8.1,0,3,False,Dortmund,High,February
NYCE Hotel Dortmund City,"Dortmund City Centre, Dortmund",82.13294133000001,2024-02-03,0,0.7,965,2,8.4,0,1,False,Dortmund,Medium,February
Hotel Unique Pearl,Dortmund,98.80679058000001,2024-02-03,4,1.1,5428,1,7.8,0,2,False,Dortmund,Medium,February
NP Hotel Königshof,"Dortmund City Centre, Dortmund",89.19289311,2024-02-03,0,400.0,1636,2,8.3,0,1,True,Dortmund,Medium,February
ibis Hotel Dortmund City,Dortmund,106.61503218,2024-02-03,3,1.3,520,2,8.2,0,2,False,Dortmund,Medium,February
S & D Hotel Dortmund,"Dortmund City Centre, Dortmund",60.741612780000004,2024-02-03,0,150.0,11,5,7.7890352149445965,0,0,False,Dortmund,Low,February
The Grey Design Hotel,"Dortmund City Centre, Dortmund",149.31635343000002,2024-02-03,3,0.7,2776,2,8.4,0,2,False,Dortmund,High,February
Ringhotel Drees,Dortmund,183.9816927,2024-02-03,4,1.7,1309,2,8.4,0,1,False,Dortmund,High,February
Zentrale Unterkunft in Dortmund City,Dortmund,75.51220314000001,2024-02-03,0,1.3,73,3,9.1,0,1,False,Dortmund,Low,February
PS-Projektentwicklung,Dortmund,54.10460742,2024-02-03,0,4.5,62,2,8.0,0,0,False,Dortmund,Low,February
Hotel NeuHaus,Dortmund,110.22634392,2024-02-03,3,450.0,398,2,8.5,0,3,True,Dortmund,Medium,February
Hotel Excelsior Dortmund Hauptbahnhof,Dortmund,91.14495351000001,2024-02-03,0,1.0,2952,1,7.4,0,1,False,Dortmund,Medium,February
l'Arrivée Hotel & Spa,Dortmund,199.24029816,2024-02-03,4,7.4,1086,2,8.5,0,0,True,Dortmund,High,February
Moods Hotel Dortmund,Dortmund,120.24692064000001,2024-02-03,3,3.5,1611,2,8.3,0,3,False,Dortmund,Medium,February
TM Aparts,Dortmund,130.26749736000002,2024-02-03,0,1.2,769,1,7.0,0,0,False,Dortmund,Medium,February
Big Apartments,"Dortmund City Centre, Dortmund",55.11317196,2024-02-03,0,200.0,173,0,4.7,0,0,False,Dortmund,Low,February
G & L City Rooms,Dortmund,80.16461376000001,2024-02-03,0,1.0,112,1,7.3,0,0,False,Dortmund,Medium,February
Hotel Biedermeier,Dortmund,90.18519048,2024-02-03,3,10.2,492,1,7.5,0,1,True,Dortmund,Medium,February
Design Apartments 1,Dortmund,60.12346032000001,2024-02-03,0,0.9,563,0,5.6,0,0,True,Dortmund,Low,February
a&o Dortmund Hauptbahnhof,"Dortmund City Centre, Dortmund",46.524106200000006,2024-02-04,0,400.0,4057,0,6.9,0,4,False,Dortmund,Low,February
Moxy Dortmund City,Dortmund,76.16288994,2024-02-04,3,1.1,676,2,8.4,0,1,False,Dortmund,Low,February
"Holiday Inn Express Dortmund, an IHG Hotel",Dortmund,64.12518414,2024-02-04,3,4.6,2693,2,8.3,0,4,False,Dortmund,Low,February
Hotel Unique Dortmund Hauptbahnhof,Dortmund,47.59773942,2024-02-04,4,0.9,7513,1,7.5,0,1,False,Dortmund,Low,February
Leonardo Hotel Dortmund,Dortmund,72.14489895,2024-02-04,0,350.0,4513,5,8.6,0,4,False,Dortmund,Low,February
prizeotel Dortmund-City,"Dortmund City Centre, Dortmund",79.62779715,2024-02-04,3,0.6,911,2,8.1,0,2,False,Dortmund,Low,February
Hotel Unique Pearl,Dortmund,47.695342440000005,2024-02-04,4,1.1,5428,1,7.8,0,2,False,Dortmund,Low,February
NH Dortmund,Dortmund,79.36752243000001,2024-02-04,4,450.0,3768,2,8.5,0,4,True,Dortmund,Low,February
Hotel Excelsior Dortmund Hauptbahnhof,Dortmund,44.8973892,2024-02-04,0,1.0,2952,1,7.4,0,1,True,Dortmund,Low,February
stays design Hotel Dortmund,Dortmund,49.094319060000004,2024-02-04,0,2.5,3738,2,8.3,0,1,False,Dortmund,Low,February
Hotel Carlton,"Dortmund City Centre, Dortmund",43.433343900000004,2024-02-04,0,350.0,1739,0,6.3,0,1,False,Dortmund,Low,February
NYCE Hotel Dortmund City,"Dortmund City Centre, Dortmund",61.13202486,2024-02-04,0,0.7,965,2,8.4,0,1,False,Dortmund,Low,February
Hampton By Hilton Dortmund Phoenix See,Dortmund,90.28279350000001,2024-02-04,3,3.7,2472,2,8.5,0,4,False,Dortmund,Medium,February
Basecamp Hotel Dortmund,"Dortmund City Centre, Dortmund",70.14403704,2024-02-04,0,150.0,2737,2,8.4,0,2,False,Dortmund,Low,February
Residence Inn by Marriott Dortmund City,Dortmund,84.18260475000001,2024-02-04,4,1.1,831,2,8.5,0,1,False,Dortmund,Medium,February
IntercityHotel Dortmund,"Dortmund City Centre, Dortmund",79.64406432,2024-02-04,4,0.6,1222,2,8.3,0,1,False,Dortmund,Low,February
The Grey Design Hotel,"Dortmund City Centre, Dortmund",69.1354725,2024-02-04,3,0.7,2776,2,8.4,0,2,False,Dortmund,Low,February
B&B Hotel Dortmund-City,Dortmund,56.121736500000004,2024-02-04,0,400.0,2706,1,7.9,0,0,False,Dortmund,Low,February
PS-Projektentwicklung,Dortmund,43.286939370000006,2024-02-04,0,4.5,62,2,8.0,0,0,False,Dortmund,Low,February
Design Apartments 2,Dortmund,45.09259524,2024-02-04,0,0.9,606,0,5.6,0,0,True,Dortmund,Low,February
Hotel Esplanade Dortmund,Dortmund,81.14064396,2024-02-04,4,250.0,1358,2,8.5,0,3,False,Dortmund,Medium,February
Mercure Hotel Dortmund Centrum,"Dortmund City Centre, Dortmund",84.71942136,2024-02-04,4,350.0,1275,1,7.7,0,2,False,Dortmund,Medium,February
Mercure Hotel Dortmund Messe,Dortmund,100.20576720000001,2024-02-04,4,2.5,1502,2,8.1,0,0,False,Dortmund,Medium,February
Hotel Union,Dortmund,69.1354725,2024-02-04,0,0.9,209,1,7.5,0,1,False,Dortmund,Low,February
Radisson Blu Hotel Dortmund,Dortmund,117.00975381,2024-02-04,0,2.4,2833,2,8.1,0,3,False,Dortmund,Medium,February
Courtyard by Marriott Dortmund,Dortmund,76.16288994,2024-02-04,0,3.7,290,2,8.4,0,1,False,Dortmund,Low,February
B&B Hotel Dortmund-City,Dortmund,56.121736500000004,2024-02-04,0,400.0,2706,1,7.9,0,0,False,Dortmund,Low,February
Mercure Hotel Dortmund Messe,Dortmund,100.20576720000001,2024-02-04,4,2.5,1502,2,8.1,0,0,False,Dortmund,Medium,February
Hotel Fürst Garden,Dortmund,73.25106651,2024-02-04,3,1.2,1273,2,8.1,0,1,False,Dortmund,Low,February
Ringhotel Drees,Dortmund,129.87708528000002,2024-02-04,4,1.7,1309,2,8.4,0,1,False,Dortmund,Medium,February
Best Western Hotel Dortmund Airport,Dortmund,71.34780762,2024-02-04,4,7.3,1670,1,7.4,0,1,False,Dortmund,Low,February
PS-Projektentwicklung,Dortmund,43.286939370000006,2024-02-04,0,4.5,62,2,8.0,0,0,False,Dortmund,Low,February
Design Apartments 2,Dortmund,45.09259524,2024-02-04,0,0.9,606,0,5.6,0,0,True,Dortmund,Low,February
Coffee Fellows Hotel Dortmund,"Dortmund City Centre, Dortmund",115.51317417000001,2024-02-04,0,400.0,1461,2,8.4,0,4,False,Dortmund,Medium,February
Home Hotel,Dortmund,73.25106651,2024-02-04,0,1.4,1765,1,7.1,0,0,False,Dortmund,Low,February
ibis Hotel Dortmund City,Dortmund,71.39660913,2024-02-04,3,1.3,520,2,8.2,0,2,False,Dortmund,Low,February
Studio 229,Dortmund,49.59860133,2024-02-04,0,4.3,9,4,9.8,0,0,False,Dortmund,Low,February
Pension Sölde,Dortmund,75.1543254,2024-02-04,0,8.6,1039,1,7.9,0,2,True,Dortmund,Low,February
Hotel Union,Dortmund,69.1354725,2024-02-04,0,0.9,209,1,7.5,0,1,False,Dortmund,Low,February
Hotel Senator,Dortmund,50.249288130000004,2024-02-04,0,1.8,1696,0,6.9,0,1,False,Dortmund,Low,February
DJH Jugendgästehaus Adolph Kolping,"Dortmund City Centre, Dortmund",98.12356944000001,2024-02-04,0,500.0,2063,2,8.4,0,1,False,Dortmund,Medium,February
Design Apartments 1,Dortmund,50.102883600000006,2024-02-04,0,0.9,563,0,5.6,0,0,False,Dortmund,Low,February
l'Arrivée Hotel & Spa,Dortmund,179.37808359000002,2024-02-04,4,7.4,1086,2,8.5,0,0,True,Dortmund,High,February
Akzent Hotel Körner Hof,Dortmund,104.22375819000001,2024-02-04,3,2.3,308,2,8.0,0,0,True,Dortmund,Medium,February
NP Hotel Königshof,"Dortmund City Centre, Dortmund",79.15604922,2024-02-04,0,400.0,1636,2,8.3,0,1,True,Dortmund,Low,February
TM Aparts,Dortmund,84.18260475000001,2024-02-04,0,1.2,769,1,7.0,0,0,False,Dortmund,Medium,February
Deluxe Wohnungen Dortmund Mitte,Dortmund,85.17490212,2024-02-04,0,1.4,124,1,7.4,0,0,False,Dortmund,Medium,February
NYCE Hotel Dortmund Thier Galerie,"Dortmund City Centre, Dortmund",62.38459695,2024-02-04,0,0.8,392,2,8.0,0,0,False,Dortmund,Low,February
Days Inn Dortmund West,Dortmund,46.898251110000004,2024-02-04,0,10.0,783,0,5.8,0,1,False,Dortmund,Low,February
S & D Hotel Dortmund,"Dortmund City Centre, Dortmund",46.0360911,2024-02-04,0,150.0,11,5,7.7890352149445965,0,0,False,Dortmund,Low,February
NH Dortmund,Dortmund,87.38723724,2024-02-05,4,450.0,3768,2,8.5,0,4,True,Dortmund,Medium,February
Moxy Dortmund City,Dortmund,93.19461693000001,2024-02-05,3,1.1,676,2,8.4,0,1,False,Dortmund,Medium,February
Hotel Excelsior Dortmund Hauptbahnhof,Dortmund,44.8973892,2024-02-05,0,1.0,2952,1,7.4,0,1,True,Dortmund,Low,February
Hotel Unique Dortmund Hauptbahnhof,Dortmund,47.939349990000004,2024-02-05,4,0.9,7513,1,7.5,0,1,False,Dortmund,Low,February
stays design Hotel Dortmund,Dortmund,54.10460742,2024-02-05,0,2.5,3738,2,8.3,0,1,False,Dortmund,Low,February
